SITE NAME,GLOBAL ID,SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
101 DISPOSAL COMPANY,T10000004517,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,25875 SOUTH NORMANDIE,WILMINGTON,33.78837267,-118.2983178
1401 W. 120TH STREET LANDFILL,T10000009309,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,120TH STREET,LOS ANGELES,33.92552439,-118.3030013
14TH AVENUE LANDFILL,L10009928993,LAND DISPOSAL SITE,OPEN,14TH AVE & POWER INN ROAD,SACRAMENTO,38.54220767,-121.4137959
14TH AVENUE LANDFILL - EAST PIT,SL0606738107,LAND DISPOSAL SITE,OPEN,"14TH AVE & POWER INN RD, E. OF RR TRACKS",SACRAMENTO,38.54370135,-121.4119291
14TH AVENUE LANDFILL - WEST PIT,SL0606714388,LAND DISPOSAL SITE,OPEN,"14TH AVE & POWER INN RD, W. OF RR TRACKS",SACRAMENTO,38.54144403,-121.4170146
186TH AND VERMONT (190TH AND VERMONT) LANDFILL,T10000004217,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,18602 SOUTH VERMONT AVENUE,LOS ANGELES,33.86141355,-118.2868678
19000 SURPLUS - VALLEY PARK - MONROVIA LANDFILL,T10000006068,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,SOUTHWEST ARROW HIGHWAY AND PECK AVENUE,MONROVIA,34.10877188,-118.0074006
19000 SURPLUS DUMP,T10000004244,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,3131 S. PECK ROAD,MONROVIA,34.10865728,-118.0074788
1941 RESERVOIR SITE,L10004748079,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,VENTURA OIL FIELD,VENTURA (COUNTY),34.311043,-119.246678
24TH ST MARINE TERMINAL LANDFILL (FORMER PACO TERMINALS),L10005363930,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,2720 TERMINAL STREET,NATIONAL CITY,32.65122743,-117.1192575
28TH STREET LANDFILL,T10000005189,LAND DISPOSAL SITE,OPEN - REMEDIATION,28TH AND A STREET,SACRAMENTO,38.58548731,-121.4637045
3M BRINE PONDS,L10008296897,LAND DISPOSAL SITE,OPEN - OPERATING,18750 MINNESOTA ROAD,CORONA,33.84942536,-117.5118899
"3RD AVE LANDFILL, SAN MATEO",L10004740616,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,3RD AVE,SAN MATEO,37.57422569,-122.3015213
A & D TRANSPORT,L10004720848,LAND DISPOSAL SITE,OPEN,25077 HEARST,GUSTINE,37.147573,-120.945391
ABANDONED DISPOSAL SITE,L10008581012,LAND DISPOSAL SITE,OPEN,NORTH MINES ROAD,LIVERMORE,37.695589,-121.751991
ACE COGENERATION FACILITY/ASH,L10006965228,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,12801 MARIPOSA,TRONA,35.765144,-117.373532
ACME FILL LAND DISPOSAL - SW1,L10008706352,LAND DISPOSAL SITE,OPEN - OPERATING,950 WATERBIRD WAY,MARTINEZ,38.02507591,-122.0776181
ACTON CLAY QUARRIES,L10002290051,LAND DISPOSAL SITE,OPEN - OPERATING,31375 ALISO CANYON ROAD,ACTON,34.41396379,-118.1925068
ADAMS INDUSTRIES LANDFILL,T10000005080,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,213 STREET & DOLORES ST (21111 DOLORES STREET),CARSON,33.8372941,-118.2735279
ADELANTO CLASS III LANDFILL,L10005089428,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,5 MI N OF ADELANTO,ADELANTO,34.65219426,-117.4445558
AERA ENERGY LLC BENEFICIAL REUSE,SL0608301576,LAND DISPOSAL SITE,OPEN - OPERATING,6516 CAT CANYON,SANTA MARIA,34.824724,-120.286398
AERA ENERGY LLC BENEFICIAL REUSE,SL0605345625,LAND DISPOSAL SITE,OPEN - OPERATING,66893 SARGENT CANYON ROAD,SAN ARDO,35.953525,-120.853048
AERA ENERGY LLC WASTE PILE FACILITY,SL0605388499,LAND DISPOSAL SITE,OPEN - OPERATING,66893 SARGENT CANYON ROAD,SAN ARDO,35.9520125,-120.8602255
AERA ENERGY LLC WASTE PILE FACILITY,SL0608345730,LAND DISPOSAL SITE,OPEN - OPERATING,6516 CAT CANYON,SANTA MARIA,34.864548,-120.294968
AEROJET (LANDFILL),L10002881514,LAND DISPOSAL SITE,OPEN,DEPT 5784/BLDG 20019,RANCHO CORDOVA,38.604325,-121.288423
AG AIR (WAS VALLEY HELI),L10008508749,LAND DISPOSAL SITE,OPEN,18417 E. HWY 4,STOCKTON,37.935528,-121.086481
AG FLIGHT,L10008116655,LAND DISPOSAL SITE,OPEN,6015 W. ACAMPO (NEAR I-5),SAN JOAQUIN COUNTY,38.17446,-121.242683
AGAJANIAN DUMP,T10000005508,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,716 E. LINCOLN AVE (700 REA DRIVE),MONTEBELLO,34.01632063,-118.0906265
"AGAJANIAN, J.C.",T10000005494,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,1901 N. GAFFEY STREET,SAN PEDRO,33.76705322,-118.2955739
AGRISCAPE INC. COMPOSTING FAC,T10000004167,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,18712 BRIDGE STREET,LAKEVIEW,33.8577,-117.060275
AGROMIN CHINO COMPOSTING FACILITY,T10000009584,LAND DISPOSAL SITE,OPEN - OPERATING,8100 CHINO CORONA ROAD,CHINO,33.95210416,-117.629469
AGROMIN ORGANICS RECYCLING (WORLD SOILS),T10000005297,LAND DISPOSAL SITE,OPEN - OPERATING,6859 ARNOLD ROAD,OXNARD,34.1263155,-119.1541628
AGUA HEDIONDA RANCHO,L10003289825,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,"AGUA HEDIONDA, 3/4 MI TO OCEAN",ENCINITAS,33.13697622,-117.3178482
AGUA MANSA LANDFILL,L10009370402,LAND DISPOSAL SITE,OPEN - OPERATING,588 EAST AGUA MANSA ROAD,RIALTO,34.04608124,-117.3593688
AIR FORCE PLANT 42 FFTF,L10007240290,LAND DISPOSAL SITE,OPEN,2503 E AVE P,PALMDALE,34.62282581,-118.1019974
ALABAMA STREET SEPTAGE PONDS,T10000008984,LAND DISPOSAL SITE,OPEN - INACTIVE,8203 ALABAMA STREET,REDLANDS,34.09933,-117.20419
ALAMEDA CITY LANDFILL-(AKA DOOLITTLE LANDFILL),L10005975873,LAND DISPOSAL SITE,OPEN,DOOLITTLE DRIVE,ALAMEDA,37.746005,-122.231145
ALAMEDA STREET DUMP,T10000004979,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,22700 (22746?) S. ALAMEDA STREET,CARSON,33.81638343,-118.2292174
ALBANY LANDFILL,L10009838494,LAND DISPOSAL SITE,OPEN - INACTIVE,BUCHANAN STREET EXTENSION,ALBANY,37.889808,-122.31137
ALHAMBRA - PASADENA LANDFILLS,T10000004295,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,800 EAST MISSION,ALHAMBRA,34.09069178,-118.1128298
"ALL AMERICAN ASPHALT LANDFILL,CORONA-INERT",L10005540133,LAND DISPOSAL SITE,OPEN - OPERATING,1776 ALL AMERICAN WAY,CORONA,33.86843,-117.524831
"ALL CITIES LANDFILL (AKA WINTON AVENUE, AKA KOFY, AKA RUSSELL CITY) -",T10000000114,LAND DISPOSAL SITE,OPEN - OPERATING,4001 WEST WINTON AVENUE,HAYWARD,37.6508654,-122.151703
ALL PURE CHEMICAL  PLANT,L10005446111,LAND DISPOSAL SITE,OPEN,3721 FEATHER RIVER,MARYSVILLE,39.0614865,-121.577496
ALL-PURE CHEMICAL COMPANY,L10007572143,LAND DISPOSAL SITE,OPEN,26700 BANTA,TRACY,37.7114499,-121.3798061
ALLIED (REPUBLIC) IMPERIAL LANDFILL,L10005391970,LAND DISPOSAL SITE,OPEN - OPERATING,104 EAST ROBINSON ROAD,IMPERIAL,32.8545268,-115.5187602
ALPHA EXPLOSIVES,L10005592967,LAND DISPOSAL SITE,OPEN,3400 NADER ROAD,LINCOLN,38.94595937,-121.3431829
