SITE NAME,GLOBAL ID,SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
AIR FORCE PLANT #70,T10000004780,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,HIGHWAY 50 & AEROJET ROAD,FOLSOM,38.62969887,-121.2158837
AIR FORCE PLANT 42 - AOC 1 - LAND 1,DOD100003900,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,2503 EAST AVENUE P,PALMDALE,34.64087006,-118.101182
AIR FORCE PLANT 42 - AOC 2 - FORMER FIRING RANGE AT BLDG 728,DOD100004000,MILITARY CLEANUP SITE,OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION,2503 EAST AVENUE P,PALMDALE,34.62137787,-118.0969334
AIR FORCE PLANT 42 - AOC 3 - FORMER FIRING RANGE AT FORMER WASTEWATER TREATMENT FACILITY,DOD100004100,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,2503 EAST AVENUE P,PALMDALE,34.64676625,-118.08393
AIR FORCE PLANT 42 - BASEWIDE,T10000008029,MILITARY CLEANUP SITE,OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION,2503 EAST AVE P,PALMDALE,34.60236,-118.08523
AIR FORCE PLANT 42 - DP002 - PAINT WASTE DISPOSAL DITCH,DOD100001600,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63903403,-118.0917513
AIR FORCE PLANT 42 - DP009 - PAINT DISPOSAL AREA - WEST,DOD100000600,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63736568,-118.0920571
AIR FORCE PLANT 42 - DP010 - PAINT WASTE DISPOAL AREA - N,DOD100001300,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63836316,-118.0921698
AIR FORCE PLANT 42 - DP011 - DISPOSAL AREA A,DOD100000700,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63852205,-118.0894017
AIR FORCE PLANT 42 - DP013 - DISPOSAL AREA B,DOD100001400,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63835434,-118.091172
AIR FORCE PLANT 42 - DP016 - EVAPORATION PONDS,DOD100001100,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.6406229,-118.0789733
AIR FORCE PLANT 42 - DP018 - ABANDONED DISPOSAL AREA,DOD100001500,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63943125,-118.0921054
AIR FORCE PLANT 42 - DP021 - FUEL DISPOSAL AREA,DOD100002900,MILITARY CLEANUP SITE,OPEN - VERIFICATION MONITORING,2503 EAST AVENUE P,PALMDALE,34.62085254,-118.0959034
AIR FORCE PLANT 42 - FT006 - ORIGINAL FIRE TRAINING CIRCLE,DOD100000400,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.61832738,-118.0860007
AIR FORCE PLANT 42 - FT017 - NEW FIRE TRAINING CIRCLE,DOD100000200,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62781839,-118.0960321
AIR FORCE PLANT 42 - RCRA FACILITY ASSESSMENT AT SWMU 95,T10000002610,MILITARY CLEANUP SITE,OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION,2503 EAST AVENUE P,PALMDALE,34.63876922,-118.099401
AIR FORCE PLANT 42 - SD001 - FUEL CONTAMINATED DITCH,DOD100001800,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63970489,-118.0851316
AIR FORCE PLANT 42 - SD023 - BUILDING DITCH DISCHARGE AREA,DOD100003300,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.6232496,-118.1090355
AIR FORCE PLANT 42 - SD024 - WASHRACK AT FIRE STATION 1,DOD100003400,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.61909112,-118.0787855
AIR FORCE PLANT 42 - SD025 - WASHRACK AT FIRE STATION 2,DOD100003500,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63576792,-118.0921698
AIR FORCE PLANT 42 - SITE 1 UST T1-1 & T1-2 (BLDG 147),T0603700347,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.635538,-118.098369
AIR FORCE PLANT 42 - SITE 1 UST T1-10 BLDG 127,T0603700374,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63797477,-118.096987
AIR FORCE PLANT 42 - SITE 1 UST T1-11,T10000002785,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63786001,-118.096633
AIR FORCE PLANT 42 - SITE 1 UST T1-13,T10000002741,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,33.8808958,-118.37865
AIR FORCE PLANT 42 - SITE 1 UST T1-3,T10000002739,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63543689,-118.0994037
AIR FORCE PLANT 42 - SITE 1 UST T1-4 BLDG 145,T0603700369,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.635952,-118.099086
AIR FORCE PLANT 42 - SITE 1 UST T1-5 BLDG 145,T0603700370,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.636219,-118.099477
AIR FORCE PLANT 42 - SITE 1 UST T1-6 BLDG 198,T0603700371,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63776291,-118.0993688
AIR FORCE PLANT 42 - SITE 1 UST T1-7,T10000002740,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.64111721,-118.0975342
AIR FORCE PLANT 42 - SITE 1 UST T1-8 BLDG 143,T0603700373,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63788208,-118.095265
"AIR FORCE PLANT 42 - SITE 1 UST T1-9 & T1-12, BLDG 145",T10000002732,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63688018,-118.0982637
AIR FORCE PLANT 42 - SITE 2,T0603700232,MILITARY UST SITE,COMPLETED - CASE CLOSED,2500 AVE M E,PALMDALE,34.63709204,-118.0891657
AIR FORCE PLANT 42 - SITE 2 CLARIFIER C2-12,T10000002774,MILITARY UST SITE,COMPLETED - CASE CLOSED,2500 AVE M E,PALMDALE,34.63737451,-118.0883718
