NAICS Code,Description
1111,OILSEED AND GRAIN FARMING
1112,VEGETABLE AND MELON FARMING
1113,FRUIT AND TREE NUT FARMING
1119,OTHER CROP FARMING
1151,SUPPORT ACTIVITIES FOR CROP PRODUCTION
2111,OIL AND GAS EXTRACTION
2122,METAL ORE MINING
2123,NONMETALLIC MINERAL MINING AND QUARRYING
2131,SUPPORT ACTIVITIES FOR MINING
2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION"
2212,NATURAL GAS DISTRIBUTION
2213,"WATER, SEWAGE AND OTHER SYSTEMS"
2361,RESIDENTIAL BUILDING CONSTRUCTION
2362,NONRESIDENTIAL BUILDING CONSTRUCTION
2371,UTILITY SYSTEM CONSTRUCTION
2372,LAND SUBDIVISION
2373,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION"
2379,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION
2381,"FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS"
2383,BUILDING FINISHING CONTRACTORS
2389,OTHER SPECIALTY TRADE CONTRACTORS
3111,ANIMAL FOOD MANUFACTURING
3112,GRAIN AND OILSEED MILLING
3114,FRUIT AND VEGETABLE PRESERVING AND SPECIALTY FOOD MANUFACTURING
3115,DAIRY PRODUCT MANUFACTURING
3116,ANIMAL SLAUGHTERING AND PROCESSING
3119,OTHER FOOD MANUFACTURING
3121,BEVERAGE MANUFACTURING
3122,TOBACCO MANUFACTURING
3133,TEXTILE AND FABRIC FINISHING AND FABRIC COATING MILLS
3149,OTHER TEXTILE PRODUCT MILLS
3211,SAWMILLS AND WOOD PRESERVATION
3219,OTHER WOOD PRODUCT MANUFACTURING
3221,"PULP, PAPER, AND PAPERBOARD MILLS"
3222,CONVERTED PAPER PRODUCT MANUFACTURING
3231,PRINTING AND RELATED SUPPORT ACTIVITIES
3241,PETROLEUM AND COAL PRODUCTS MANUFACTURING
3251,BASIC CHEMICAL MANUFACTURING
3252,"RESIN, SYNTHETIC RUBBER, AND ARTIFICIAL SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING"
3253,"PESTICIDE, FERTILIZER, AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING"
3254,PHARMACEUTICAL AND MEDICINE MANUFACTURING
3255,"PAINT, COATING, AND ADHESIVE MANUFACTURING"
3256,"SOAP, CLEANING COMPOUND, AND TOILET PREPARATION MANUFACTURING"
3259,OTHER CHEMICAL PRODUCT AND PREPARATION MANUFACTURING
3261,PLASTICS PRODUCT MANUFACTURING
3271,CLAY PRODUCT AND REFRACTORY MANUFACTURING
3272,GLASS AND GLASS PRODUCT MANUFACTURING
3273,CEMENT AND CONCRETE PRODUCT MANUFACTURING
3279,OTHER NONMETALLIC MINERAL PRODUCT MANUFACTURING
3311,IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING
3312,STEEL PRODUCT MANUFACTURING FROM PURCHASED STEEL
3313,ALUMINA AND ALUMINUM PRODUCTION AND PROCESSING
3314,NONFERROUS METAL (EXCEPT ALUMINUM) PRODUCTION AND PROCESSING
3315,FOUNDRIES
3321,FORGING AND STAMPING
3323,ARCHITECTURAL AND STRUCTURAL METALS MANUFACTURING
3324,"BOILER, TANK, AND SHIPPING CONTAINER MANUFACTURING"
3325,HARDWARE MANUFACTURING
3326,SPRING AND WIRE PRODUCT MANUFACTURING
3327,"MACHINE SHOPS; TURNED PRODUCT; AND SCREW, NUT, AND BOLT MANUFACTURING"
3328,"COATING, ENGRAVING, HEAT TREATING, AND ALLIED ACTIVITIES"
3329,OTHER FABRICATED METAL PRODUCT MANUFACTURING
3331,"AGRICULTURE, CONSTRUCTION, AND MINING MACHINERY MANUFACTURING"
3332,INDUSTRIAL MACHINERY MANUFACTURING
3333,COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING
3334,"VENTILATION, HEATING, AIR-CONDITIONING, AND COMMERCIAL REFRIGERATION EQUIPMENT MANUFACTURING"
3335,METALWORKING MACHINERY MANUFACTURING
3336,"ENGINE, TURBINE, AND POWER TRANSMISSION EQUIPMENT MANUFACTURING"
3339,OTHER GENERAL PURPOSE MACHINERY MANUFACTURING
3341,COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING
3342,COMMUNICATIONS EQUIPMENT MANUFACTURING
3344,SEMICONDUCTOR AND OTHER ELECTRONIC COMPONENT MANUFACTURING
3345,"NAVIGATIONAL, MEASURING, ELECTROMEDICAL, AND CONTROL INSTRUMENTS MANUFACTURING"
3346,MANUFACTURING AND REPRODUCING MAGNETIC AND OPTICAL MEDIA
3351,ELECTRIC LIGHTING EQUIPMENT MANUFACTURING
3352,HOUSEHOLD APPLIANCE MANUFACTURING
3353,ELECTRICAL EQUIPMENT MANUFACTURING
3359,OTHER ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING
3361,MOTOR VEHICLE MANUFACTURING
3362,MOTOR VEHICLE BODY AND TRAILER MANUFACTURING
3363,MOTOR VEHICLE PARTS MANUFACTURING
3364,AEROSPACE PRODUCT AND PARTS MANUFACTURING
3366,SHIP AND BOAT BUILDING
3369,OTHER TRANSPORTATION EQUIPMENT MANUFACTURING
3371,HOUSEHOLD AND INSTITUTIONAL FURNITURE AND KITCHEN CABINET MANUFACTURING
3372,OFFICE FURNITURE (INCLUDING FIXTURES) MANUFACTURING
3391,MEDICAL EQUIPMENT AND SUPPLIES MANUFACTURING
3399,OTHER MISCELLANEOUS MANUFACTURING
4231,MOTOR VEHICLE AND MOTOR VEHICLE PARTS AND SUPPLIES MERCHANT WHOLESALERS
4233,LUMBER AND OTHER CONSTRUCTION MATERIALS MERCHANT WHOLESALERS
4234,PROFESSIONAL AND COMMERCIAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS
4235,METAL AND MINERAL (EXCEPT PETROLEUM) MERCHANT WHOLESALERS
