Facility.Name,Latitude,Longitude
"Georgia-Pacific Resins, Inc.",39.180833,-123.201944
"Anheuser-Busch, Inc.",38.25,-122.05
Ralph D. Bollman Water Treatment Plant,38.0085,-122.024611
J&J WALL BAKING COMPANY,38.52525,-121.374722
Darling International  - Turlock,37.464167,-121.03
"Avocet Tungsten, Inc.",37.36,-118.703056
Warm Spring Rehabilitation Center,34.607972,-118.558889
Southland Chemical Company,34.318306,-118.484944
"AlliedSignal, Inc., El Segundo Works",33.904167,-118.394444
"Westway Terminal Company, Inc.",33.721389,-118.270417
"FLO-KEM,INC.",33.854722,-118.205
GREN Inc. 12920 Imperial Hwy,33.917333,-118.05725
Bestfoods-Cerritos,33.8855,-118.056528
Rainbow Municipal Water District,33.632333,-117.380056
"Pacific Chemical Pool Services, Inc.",32.805583,-117.083056
Yuima Municipal Water District,33.286806,-116.957667
US Army National Training Center and Fort Irwin,35.16,-116.41
Arrowhead Regional Medical Center,34.073158,-117.352829
Yorba Linda Water District,33.864333,-117.82528
"Helena Chemical Company, Blythe, California",33.591333,-114.602694
"Compton Ag Services, LLC",33.561667,-114.6225
Blythe Energy Center,33.615912,-114.686709
Palo Verde County Water District/Treatment Plant,33.426167,-114.729961
Ormesa Geothermal Projects,32.771944,-115.255556
Dune Company of Calipatria,33.633333,-115.257778
"D.R. Osborne Co., Inc.",32.806944,-115.376944
"6th Street Cooling, LLC",32.811944,-115.386667
"Helena Chemical Company, Holtville, CA",32.753194,-115.404444
Planters Ginning Company,32.974167,-115.425
Calexico Water Treatment Plant,32.671111,-115.504722
Oberon Fuels Brawley BNG 4.5,33.045289,-115.513231
SCWC Holabird Water Treatment Plant,33.119167,-115.513611
"Western Farm Service, Calipatria",33.132778,-115.514167
Heber Geothermal Company (Heber 1),32.716,-115.518
"OWB Packers, LLC",32.99589,-115.52
"Western Farm Service, Brawley",32.987222,-115.525833
"Heber, CA 611",32.73,-115.528056
"Malan Street Cooling, LLC",32.97,-115.531667
BC Systems Inc,32.96883,-115.53167
Crown Cooling,32.965555,-115.533055
Second Imperial Geothermal Company (Heber 2),32.7139,-115.5358
El Centro Warehouse,32.769167,-115.538611
El Centro Generating Station,32.803333,-115.539722
"Mainas Farms, LLC",32.793438,-115.542777
North Brawley Geothermal Project,33.019328,-115.542802
Growers Ice Co. - Central Coast Cooling South,32.794088,-115.545565
Dune Company of Imperial Valley - El Centro Yard,32.7975,-115.548611
"Imperial Grain Growers, Incorporated",32.7975,-115.548611
City of Brawley Water Treatment Plant,32.969167,-115.550556
"Crop Production Services, Inc.",32.8725,-115.562778
Dune Company of Imperial Valley - Imperial Yard,32.840278,-115.562778
City of El Centro Water Treatment Plant,32.766669,-115.5658
"Desert Express, LLC",32.937855,-115.583811
Chuckawalla Valley State Prison,33.587722,-115.5875
Imperial Valley Cooling LLC,32.810833,-115.638333
CVWD WELL #7991,33.561352,-116.068863
CVWD WELL #8991,33.426231,-116.079257
CVWD WELL #8993&4,33.426792,-116.079884
Desert View Power LLC,33.586,-116.088
Coachella Cold Storage Facility,33.58309,-116.091998
Water Reclamation Plant No. 4,33.591917,-116.121703
"Western Farm Service, Coachella",33.6575,-116.146944
"Anthony Vineyards, Inc.",33.671194,-116.156694
Woodspur Operations LLC,33.668585,-116.16002
CVWD WELL #6804,33.638322,-116.166951
California Chemical Coachella Valley,33.685833,-116.1775
Valley Sanitary District Water Reclamation Plant,33.715278,-116.196944
CVWD WELL #6725,33.64127,-116.248812
CVWD WELL #6724,33.645267,-116.250212
CVWD WELL #6723,33.654028,-116.25089
Water Reclamation Plant No. 7,33.771806,-116.258278
CVWD WELL #5715,33.700658,-116.282165
CVWD WELL #4720,33.773274,-116.285772
CVWD WELL #5720,33.771782,-116.292009
CVWD BOOSTER #06630,33.652871,-116.306189
CVWD WELL #3405,33.555495,-116.310534
Water Reclamation Plant No. 9,33.730056,-116.315083
CVWD WELL #5639,33.728701,-116.347009
Water Reclamation Plant No. 10,33.735081,-116.351156
CVWD WELL #5682,33.7563,-116.359608
CVWD BOOSTER #05655,33.704126,-116.373066
CVWD WELL #5656,33.751386,-116.37338
CVWD WELL # 4611,33.772897,-116.384
CVWD BOOSTER #5643,33.696106,-116.390739
CVWD WELL #5624,33.750519,-116.390937
CVWD BOOSTER #05609,33.722282,-116.391692
CVWD WELL #4630,33.823095,-116.394169
CVWD WELL #4631,33.823095,-116.396316
CVWD BOOSTER #05610,33.726878,-116.397262
CVWD WELL #5630,33.772333,-116.398333
CVWD BOOSTER #5692,33.711904,-116.400245
CVWD BOOSTER #05690,33.71467,-116.400506
CVWD BOOSTER #5689,33.726241,-116.405717
CVWD BOOSTER #05509,33.732174,-116.416557
CVWD WELL #4502,33.77645,-116.419333
CVWD WELL #4566,33.811927,-116.451666
CVWD WELL #4520,33.797177,-116.457848
CVWD WELL #4522,33.830714,-116.480131
Water Reclamation Plant,33.803781,-116.487822
CVWD WELL 4565,33.844612,-116.492209
CVWD WELL #3409,33.926005,-116.51429
CVWD WELL 3408,33.931933,-116.514596
Bargar Water Treatment Plant,33.090278,-116.847222
R.M. Levy Water Treatment Plant,32.853333,-116.894167
Otay Mesa Energy Center LLC,32.5743,-116.9175
Washington Booster Pumping Station,33.765694,-116.918
Otay Water Treatment Plant,32.607975,-116.932075
Ralph W. Chapman Water Recycling Facility,32.7284,-116.946472
Kraft Heinz San Diego,32.56177,-116.971391
"GKN Aerospace, Chem-tronics, Inc",32.816944,-116.977222
"Jensen Meat Company, Inc.",32.552454,-116.981014
Ray Stoyer Water Recycling Facility,32.8837,-116.996369
Poway Chloramination Facility,33.014167,-117.001389
Cool Valley Facility,33.255278,-117.009722
Robert A. Perdue Water Treatment Plant,32.692726,-117.010696
Amerigas Barstow CA Terminal,34.905606,-117.012324
San Jacinto Valley RWRF,33.798806,-117.015306
City of Poway Lester J. Berglund - Water Treatment,33.006056,-117.016525
Barstow Water Reclamation Facility,34.875,-117.036111
