"TRI FACILITY REPORT","TRI FACILITY ID","FACILITY NAME","ADDRESS","COUNTY NAME","LATITUDELONGITUDE","TOTAL FORMS","LAST FORM","RISK SCREENING","P2 REPORT"
"","92507220LB2375T","220 LABORATORIES","2375 THIRD STRIVERSIDE, CA 92507","RIVERSIDE","33.98292, -117.36131","5","2006","N/A",""
"","95052CMCRP5400B","3COM CORP","5400 BAYFRONT PLAZASANTA CLARA, CA 95052","SANTA CLARA","37.41087, -121.98478","6","2001","N/A",""
"","91719MXXXX8500M","3M CO - CORONA","18750 MINNESOTA RDCORONA, CA 92881","RIVERSIDE","33.84916, -117.50607","111","2018","Report",""
"","92713MSRGC17132","3M CO - IRVINE SURGICAL","17132 PULLMAN STIRVINE, CA 92614","ORANGE","33.70275, -117.85696","38","2006","N/A",""
"","91016MXXXX1601S","3M CO - MONROVIA TAPE","1601 S SHAMROCK AVEMONROVIA, CA 91016","LOS ANGELES","34.13352, -117.99129","84","2018","Report",""
"","95926MLCTR890FO","3M CO ELECTRONIC PRODUCTS DIV","890 FORTRESS STCHICO, CA 95926","BUTTE","39.79764, -121.85184","7","1990","N/A",""
"","91324MRKRX19901","3M DRUG DELIVERY SYSTEMS","19901 NORDHOFF STREETNORTHRIDGE, CA 91324","LOS ANGELES","34.23181, -118.56776","94","2014","Report",""
"","92345TPCNC8981S","3M OAK HILLS","8981 US HWY 395HESPERIA, CA 92345","SAN BERNARDINO","34.410983, -117.399188","12","2009","Report",""
"","91016NTKMC2724S","3M UNITEK","2724 SOUTH PECK ROADMONROVIA, CA 91016","LOS ANGELES","34.115334, -118.003954","32","2018","Report",""
"","94710BDCST1417F","A & B DIE CASTING","1417 4TH STBERKELEY, CA 94710","ALAMEDA","37.8763, -122.30268","10","1998","N/A",""
"","92376FNTNM22WLW","A & F MARBLE","2020 W LOWELL STRIALTO, CA 92377","SAN BERNARDINO","34.152341, -117.410294","4","2009","Report",""
"","90038SCSCN1111N","A & S CASE CO INC","1111 N GORDON STLOS ANGELES, CA 90038","LOS ANGELES","34.068862, -117.753735","8","1990","N/A",""
"","90058BRSSX2052E","A BRASS FOUNDRY INC","2052 E VERNON AVEVERNON, CA 90058","LOS ANGELES","34.00394, -118.23474","12","2002","N/A",""
"","90058JLYNC4560E","A J LYNCH & CO","4560 E 50TH STVERNON, CA 90058","LOS ANGELES","33.99664, -118.19515","2","1988","N/A",""
"","9458WCNCRT389BI","A&A CONCRETE SUPPLY INC","3809 BITHELL LANESUISUN CITY, CA 94585","SOLANO","38.220792, -121.861146","8","2018","Report",""
"","9599WCNCRT121MA","A&A CONCRETE SUPPLY INC","1201 MARKET STREETYUBA CITY, CA 95993","SUTTER","39.147909, -121.614588","3","2018","Report",""
"","9597WCNCRT3578E","A&A CONCRETE SUPPLY INC CHICO PLANT","3578 ESPLANADECHICO, CA 95973","BUTTE","39.78215, -121.88718","8","2018","Report",""
"","95828CNCRT8272B","A&A CONCRETE SUPPLY INC SACRAMENTO PLANT","8272 BERRY AVESACRAMENTO, CA 95828","SACRAMENTO","38.50575, -121.40149","13","2018","Report",""
"","95215CNCRT435EM","A&A CONCRETE SUPPLY INC STOCKTON PLANT","4035 E MARIPOSA RDSTOCKTON, CA 95215","SAN JOAQUIN","37.9308, -121.22492","5","2008","N/A",""
"","95377CNCRT125WL","A&A CONCRETE SUPPLY INC TRACY PLANT","10250 W LINNE RDTRACY, CA 95377","SAN JOAQUIN","37.69602, -121.43093","5","2008","N/A",""
"","9024WRDYMX134WR","A&A READY MIXED CONCRETE INC","134 W. REDONDO BEACH BLVD.GARDENA, CA 90248","LOS ANGELES","33.89258, -118.27786","8","2018","Report",""
"","9024WRDYMX1ERED","A&A READY MIXED CONCRETE INC","100 E. REDONDO BEACH BLVD.GARDENA, CA 90248","LOS ANGELES","33.89292, -118.27623","8","2018","Report",""
"","9075WRDYMX9EPAT","A&A READY MIXED CONCRETE INC","900 E. PATTERSON STREETSIGNAL HILL, CA 90755","LOS ANGELES","33.80711, -118.18163","8","2018","Report",""
"","94547BDCST900AL","A&B DIE CASTING","900 ALFRED NOBEL DRHERCULES, CA 94547","CONTRA COSTA","38.022436, -122.275933","10","2017","Report",""
"","95050PLTNG2655L","A-1 PLATING","2655 LAFAYETTE STSANTA CLARA, CA 95050","SANTA CLARA","37.368992, -121.95029","9","1999","N/A",""
"","91504HPLTN1837N","A-H PLATING","1837 N VICTORY PLACEBURBANK, CA 91504","LOS ANGELES","34.19244, -118.32986","1","2002","N/A",""
"","90023GLSSC2800E","AAA GLASS CORP","2800 E 12TH STLOS ANGELES, CA 90023","LOS ANGELES","34.021219, -118.219156","5","2005","N/A",""
"","90222PLTNG424DI","AAA PLATING & INSPECTION INC","424 DIXONCOMPTON, CA 90222","LOS ANGELES","33.92184, -118.22169","13","2014","Report",""
"","90746CCFND16520","AACCO FNDY INC","16520 S AVALON BLVDCARSON, CA 90746","LOS ANGELES","33.8816, -118.26455","26","1994","N/A",""
"","90248BPLST15730","AB PLASTICS","15730 S FIGUEROA STGARDENA, CA 90248","LOS ANGELES","33.88809, -118.28285","34","1997","N/A",""
"","94621MRCNB7825S","AB&I FOUNDRY","7825 SAN LEANDRO STOAKLAND, CA 94621","ALAMEDA","37.75002, -122.19409","66","2018","Report",""
"","92390DVNCD26531","ABBOTT CARDIOVASCULAR SYSTEMS INC","26531 YNEZ RDTEMECULA, CA 92591","RIVERSIDE","33.51827, -117.1562","14","2018","Report",""
"","94043BBTTC1212T","ABBOTT CRITICAL CARE & CONTROL SYSTEM","1212 TERRA BELLA AVEMOUNTAIN VIEW, CA 94043","SANTA CLARA","37.40865, -122.07921","2","1989","N/A",""
"","90034BBTTL2727S","ABBOTT ELECTRONICS INC","2727 S LA CIENEGA BLVDLOS ANGELES, CA 90034","LOS ANGELES","34.033142, -118.37563","2","1996","N/A",""
"","93455BXRSP2850S","ABEX AEROSPACE","2850 SKYWAY DRSANTA MARIA, CA 93455","SANTA BARBARA","34.91055, -120.45413","3","1991","N/A",""
"","93030BXCRP3151W","ABEX/NWL AEROSPACE","3151 W 5TH STOXNARD, CA 93030","VENTURA","34.19759, -119.21252","9","1992","N/A",""
"","90248BLSTK833W1","ABLESTIK LABORATORIES","833 W 182ND STGARDENA, CA 90248","LOS ANGELES","33.86774, -118.28928","13","1990","N/A",""
"","93307CPLTN317MT","AC PLATING","317 MT VERNON AVEBAKERSFIELD, CA 93307","KERN","35.35916, -118.96746","1","2001","N/A",""
"","92670CPRDC172EA","AC PRODUCTS INC.","172 E LA JOLLA STPLACENTIA, CA 92870","ORANGE","33.859084, -117.870826","88","2006","N/A",""
"","91730NNVTV853MI","ACCELLA POLYURETHANE SYSTEMS LLC","8530 MILLIKEN AVERANCHO CUCAMONGA, CA 91730","SAN BERNARDINO","34.09846, -117.55582","40","2018","N/A",""
"","91352CCRTN871TE","ACCURATE ENGINEERING CORP","8710 TELFAIR AVESUN VALLEY, CA 91352","LOS ANGELES","34.22742, -118.38729","24","2018","Report",""
"","90740CCRTM111SE","ACCURATE METALS FABRICATORS INC","1011 SEAL BEACH BLVDSEAL BEACH, CA 907405608","ORANGE","33.75348, -118.08672","2","2006","N/A",""
"","94085CCRYN57DEL","ACCURAY INC","570 DEL RAY AVESUNNYVALE, CA 94085","SANTA CLARA","37.39278, -122.03329","0","-","N/A",""
"","91761CCRDX1930P","ACCURIDE INTERNATIONAL","1930 PARCO AVEONTARIO, CA 91761","SAN BERNARDINO","34.0384, -117.62406","11","1993","N/A",""
"","92705CDNCX2321S","ACD INC","2321 S PULLMAN STSANTA ANA, CA 927055506","ORANGE","33.71353, -117.84321","2","1992","N/A",""
"","90723CCLRW14105","ACE CLEARWATER ENTERPRISES INC","14105 S GARFIELD AVEPARAMOUNT, CA 90723","LOS ANGELES","33.90541, -118.16888","25","2018","Report",""
"","93562CCGNR12801","ACE COGENERATION FACILITY","12801 MARIPOSA STTRONA, CA 93652","SAN BERNARDINO","35.7655, -117.3821","110","2014","Report",""
"","90021CPLTN719TO","ACE PLATING CO","719 S TOWNE AVELOS ANGELES, CA 90021","LOS ANGELES","34.053311, -117.741246","24","2003","N/A",""
"","94089PRCSN539WE","ACL ELECTRONICS (USA) INC","539 WEDDELL DRSUNNYVALE, CA 94089","SANTA CLARA","37.39697, -122.01507","13","1995","N/A",""
"","90255CMCST69SSA","ACME CASTINGS INC","6009 S SANTA FE AVEHUNTINGTON PARK, CA 90255","LOS ANGELES","33.98668, -118.23032","23","2012","Report",""
"","94544CMFBR29240","ACME FIBERGLASS INC","29240 PACIFIC STHAYWARD, CA 94545","ALAMEDA","37.62942, -122.05546","23","2004","N/A",""
"","94607CMGLV16551","ACME GALVANIZING CO INC","1655 17TH STOAKLAND, CA 94607","ALAMEDA","37.81439, -122.29435","8","1999","N/A",""
